"filename", "language", "Markdown", "C#", "XML", "JSON", "PowerShell", "HTML", "comment", "blank", "total"
"d:\_Projects\CSharp\KAIR\.claude\settings.local.json", "JSON", 0, 0, 0, 127, 0, 0, 0, 3, 130
"d:\_Projects\CSharp\KAIR\CLAUDE.md", "Markdown", 261, 0, 0, 0, 0, 0, 0, 73, 334
"d:\_Projects\CSharp\KAIR\README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 13, 73
"d:\_Projects\CSharp\KAIR\build.ps1", "PowerShell", 0, 0, 0, 0, 51, 0, 8, 13, 72
"d:\_Projects\CSharp\KAIR\kairc\AssemblerHelper.cs", "C#", 0, 9, 0, 0, 0, 0, 2, 3, 14
"d:\_Projects\CSharp\KAIR\kairc\CodeGen\NasmCodeGenerator.cs", "C#", 0, 577, 0, 0, 0, 0, 72, 107, 756
"d:\_Projects\CSharp\KAIR\kairc\CommandLineParser.cs", "C#", 0, 157, 0, 0, 0, 0, 11, 27, 195
"d:\_Projects\CSharp\KAIR\kairc\Compiler.cs", "C#", 0, 82, 0, 0, 0, 0, 11, 24, 117
"d:\_Projects\CSharp\KAIR\kairc\IR\IrNode.cs", "C#", 0, 153, 0, 0, 0, 0, 28, 41, 222
"d:\_Projects\CSharp\KAIR\kairc\Lexer\Lexer.cs", "C#", 0, 345, 0, 0, 0, 0, 5, 62, 412
"d:\_Projects\CSharp\KAIR\kairc\Lexer\Token.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 5, 28
"d:\_Projects\CSharp\KAIR\kairc\Lexer\TokenType.cs", "C#", 0, 99, 0, 0, 0, 0, 10, 15, 124
"d:\_Projects\CSharp\KAIR\kairc\LinkerHelper.cs", "C#", 0, 9, 0, 0, 0, 0, 6, 3, 18
"d:\_Projects\CSharp\KAIR\kairc\Parser\Parser.cs", "C#", 0, 581, 0, 0, 0, 0, 49, 102, 732
"d:\_Projects\CSharp\KAIR\kairc\ProcessHelper.cs", "C#", 0, 36, 0, 0, 0, 0, 10, 12, 58
"d:\_Projects\CSharp\KAIR\kairc\Program.cs", "C#", 0, 53, 0, 0, 0, 0, 0, 5, 58
"d:\_Projects\CSharp\KAIR\kairc\kairc.csproj", "XML", 0, 0, 23, 0, 0, 0, 2, 0, 25
"d:\_Projects\CSharp\KAIR\tools\Golink\GoLink.htm", "HTML", 0, 0, 0, 0, 0, 878, 9, 59, 946
"d:\_Projects\CSharp\KAIR\tools\subsystem\FixSubsystem.cs", "C#", 0, 37, 0, 0, 0, 0, 7, 13, 57
"d:\_Projects\CSharp\KAIR\tools\subsystem\FixSubsystem.csproj", "XML", 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\_Projects\CSharp\KAIR\命令対応表.md", "Markdown", 182, 0, 0, 0, 0, 0, 0, 83, 265
"d:\_Projects\CSharp\KAIR\文法メモ.md", "Markdown", 231, 0, 0, 0, 0, 0, 0, 91, 322
"Total", "-", 734, 2161, 31, 127, 51, 878, 230, 755, 4967